Date,Main Pollutant,CO(ppm),SO2(ug/m3),NO2(ug/m3),Ozone(ug/m3),PM10(uq/m3),PM25(ug/m3),Temperature,precipitation,Overall AQI Value
20-Dec-16,Ozone,7,4,46,67,0,50,22.22,88.9,100
21-Dec-16,Ozone,9,4,52,100,30,66,22.22,88.9,126
22-Dec-16,Ozone,9,3,49,126,0,64,22.22,88.9,93
23-Dec-16,Ozone,8,3,39,93,0,56,22.22,88.9,126
24-Dec-16,Ozone,7,3,36,126,19,58,22.22,88.9,93
25-Dec-16,Ozone,6,3,42,93,0,55,22.22,88.9,48
26-Dec-16,PM2.5,10,3,29,43,0,48,22.22,88.9,90
27-Dec-16,Ozone,8,3,34,90,14,43,22.22,88.9,58
28-Dec-16,Ozone,6,3,30,58,0,42,22.22,88.9,54
29-Dec-16,Ozone,9,3,41,54,0,52,25.55,114.3,49
30-Dec-16,PM2.5,8,3,31,39,7,49,25.55,114.3,44
31-Dec-16,Ozone,6,3,20,44,0,40,25.55,114.3,64
1-Jan-17,Ozone,6,3,19,64,0,53,25.55,114.3,46
2-Jan-17,Ozone,7,3,31,46,9,35,25.55,114.3,115
3-Jan-17,Ozone,8,4,43,115,0,60,25.55,114.3,90
4-Jan-17,Ozone,8,4,49,90,0,65,25.55,114.3,84
5-Jan-17,Ozone,8,3,42,84,0,63,25.55,114.3,29
6-Jan-17,PM2.5,7,3,22,27,0,29,25.55,114.3,40
7-Jan-17,Ozone,6,3,16,40,0,31,25.55,114.3,42
8-Jan-17,Ozone,6,3,28,42,10,26,25.55,114.3,101
9-Jan-17,Ozone,8,3,33,101,0,46,25.55,114.3,80
10-Jan-17,Ozone,6,3,37,80,0,47,25.55,114.3,58
11-Jan-17,Ozone,9,3,57,58,20,56,25.55,114.3,126
12-Jan-17,Ozone,9,4,46,126,0,60,25.55,114.3,108
13-Jan-17,Ozone,8,3,25,108,0,55,25.55,114.3,101
14-Jan-17,Ozone,6,4,27,101,15,54,25.55,114.3,90
15-Jan-17,Ozone,7,4,35,90,0,58,25.55,114.3,64
16-Jan-17,Ozone,7,4,29,64,0,53,25.55,114.3,47
17-Jan-17,Ozone,6,3,35,47,10,42,25.55,114.3,122
18-Jan-17,Ozone,6,4,29,122,0,55,25.55,114.3,140
19-Jan-17,Ozone,6,4,25,140,0,86,25.55,114.3,71
20-Jan-17,Ozone,6,4,25,71,18,55,25.55,114.3,64
21-Jan-17,Ozone,6,4,24,64,0,51,25.55,114.3,100
22-Jan-17,Ozone,7,4,36,100,0,60,25.55,114.3,58
23-Jan-17,Ozone,6,4,27,58,10,39,25.55,114.3,74
24-Jan-17,Ozone,7,4,35,74,0,51,25.55,114.3,101
25-Jan-17,Ozone,7,4,65,101,0,60,25.55,114.3,119
26-Jan-17,Ozone,9,4,48,119,17,56,25.55,114.3,84
27-Jan-17,Ozone,13,4,32,84,0,61,25.55,114.3,56
28-Jan-17,PM2.5,11,4,20,40,0,56,25.55,114.3,43
29-Jan-17,PM2.5,26,4,29,38,15,43,24.44,104.92,47
30-Jan-17,PM2.5,28,3,30,29,0,47,24.44,104.92,42
31-Jan-17,PM2.5,38,4,35,42,0,42,24.44,104.92,49
1-Feb-17,Ozone,10,4,30,49,14,42,24.44,104.92,61
2-Feb-17,Ozone,6,4,32,61,0,49,24.44,104.92,47
3-Feb-17,Ozone,6,4,30,47,0,43,24.44,104.92,46
4-Feb-17,PM2.5,6,4,25,43,6,46,24.44,104.92,54
5-Feb-17,PM2.5,7,4,35,49,0,54,24.44,104.92,108
6-Feb-17,Ozone,8,4,52,108,0,52,24.44,104.92,55
7-Feb-17,PM2.5,6,4,32,37,18,55,24.44,104.92,84
8-Feb-17,Ozone,6,6,32,84,0,50,24.44,104.92,71
9-Feb-17,Ozone,6,6,29,71,0,41,24.44,104.92,97
10-Feb-17,Ozone,6,3,24,97,15,58,24.44,104.92,67
11-Feb-17,Ozone,6,4,25,67,0,39,24.44,104.92,64
12-Feb-17,Ozone,6,1,36,64,0,33,24.44,104.92,69
13-Feb-17,PM2.5,6,4,36,61,19,69,24.44,104.92,45
14-Feb-17,Ozone,6,0,18,45,0,38,24.44,104.92,67
15-Feb-17,Ozone,7,1,42,67,0,36,24.44,104.92,87
16-Feb-17,Ozone,9,1,39,87,16,59,24.44,104.92,80
17-Feb-17,Ozone,10,1,40,80,0,52,24.44,104.92,44
18-Feb-17,Ozone,6,1,22,44,0,35,24.44,104.92,51
19-Feb-17,Ozone,5,3,28,51,13,43,24.44,104.92,61
20-Feb-17,Ozone,5,3,39,61,0,33,24.44,104.92,115
21-Feb-17,Ozone,6,6,42,115,0,59,24.44,104.92,77
22-Feb-17,Ozone,7,6,40,77,18,53,24.44,104.92,77
23-Feb-17,Ozone,6,6,32,77,0,52,24.44,104.92,87
24-Feb-17,Ozone,6,3,39,87,0,41,24.44,104.92,80
25-Feb-17,Ozone,7,4,27,80,17,51,24.44,104.92,93
26-Feb-17,Ozone,5,7,22,93,0,40,24.44,104.92,54
27-Feb-17,Ozone,6,4,33,54,0,37,24.44,104.92,90
28-Feb-17,Ozone,7,7,31,90,19,52,24.44,104.92,56
1-Mar-17,PM2.5,9,6,47,44,0,56,20.55,101.09,39
2-Mar-17,Ozone,6,1,27,39,0,28,20.55,101.09,53
3-Mar-17,PM10,7,1,29,32,53,40,20.55,101.09,45
4-Mar-17,PM2.5,7,1,16,37,0,45,20.55,101.09,36
5-Mar-17,PM2.5,6,1,14,33,0,36,20.55,101.09,34
6-Mar-17,Ozone,6,1,16,34,10,30,20.55,101.09,44
7-Mar-17,Ozone,8,1,36,44,0,40,20.55,101.09,100
8-Mar-17,Ozone,9,3,68,100,0,64,20.55,101.09,84
9-Mar-17,Ozone,7,1,36,84,23,59,20.55,101.09,100
10-Mar-17,Ozone,9,1,32,100,0,66,20.55,101.09,54
11-Mar-17,PM2.5,8,1,19,37,0,54,20.55,101.09,40
12-Mar-17,Ozone,7,3,28,40,11,28,20.55,101.09,61
13-Mar-17,Ozone,6,3,34,61,0,36,20.55,101.09,101
14-Mar-17,Ozone,6,1,35,101,0,45,20.55,101.09,38
15-Mar-17,Ozone,6,1,25,38,9,29,20.55,101.09,41
16-Mar-17,Ozone,8,3,37,41,0,35,20.55,101.09,48
17-Mar-17,Ozone,7,1,28,48,0,31,20.55,101.09,41
18-Mar-17,PM2.5,8,4,30,35,14,41,20.55,101.09,35
19-Mar-17,NO2,9,3,35,27,0,31,20.55,101.09,47
20-Mar-17,NO2,9,1,47,40,0,41,20.55,101.09,54
21-Mar-17,PM2.5,9,9,46,47,19,54,20.55,101.09,61
22-Mar-17,Ozone,10,6,46,61,0,48,20.55,101.09,126
23-Mar-17,Ozone,9,3,51,126,0,54,20.55,101.09,36
24-Mar-17,PM2.5,8,3,30,31,0,36,20.55,101.09,35
25-Mar-17,Ozone,6,1,33,35,0,30,20.55,101.09,44
26-Mar-17,Ozone,8,3,36,44,0,37,20.55,101.09,43
27-Mar-17,Ozone,9,1,42,43,12,38,20.55,101.09,51
28-Mar-17,PM2.5,10,7,38,39,0,51,20.55,101.09,31
29-Mar-17,Ozone,8,0,21,31,0,26,20.55,101.09,31
30-Mar-17,Ozone,6,0,28,31,8,29,20.55,101.09,30
31-Mar-17,Ozone,7,0,14,30,0,17,20.55,101.09,33
1-Apr-17,PM2.5,8,0,25,24,0,33,20.55,101.09,57
2-Apr-17,PM2.5,9,1,42,36,16,57,14.44,86.106,58
3-Apr-17,PM2.5,9,0,31,29,0,58,14.44,86.106,42
4-Apr-17,PM2.5,7,3,37,35,0,42,14.44,86.106,62
5-Apr-17,PM2.5,10,1,47,47,26,62,14.44,86.106,58
6-Apr-17,Ozone,14,3,49,58,0,56,14.44,86.106,54
7-Apr-17,PM2.5,11,1,40,31,0,54,14.44,86.106,35
8-Apr-17,PM2.5,10,0,25,31,6,35,14.44,86.106,33
9-Apr-17,Ozone,7,1,30,33,0,26,14.44,86.106,39
10-Apr-17,PM2.5,9,3,32,32,0,39,14.44,86.106,53
11-Apr-17,PM2.5,14,4,48,34,19,53,14.44,86.106,52
12-Apr-17,PM2.5,14,4,42,31,0,52,14.44,86.106,36
13-Apr-17,NO2,10,3,36,30,0,35,14.44,86.106,60
14-Apr-17,PM2.5,11,3,29,39,14,60,14.44,86.106,44
15-Apr-17,PM2.5,9,1,30,40,0,44,14.44,86.106,58
16-Apr-17,PM2.5,10,4,50,45,0,58,14.44,86.106,66
17-Apr-17,PM2.5,8,3,42,47,23,66,14.44,86.106,52
18-Apr-17,PM2.5,6,17,29,44,0,52,14.44,86.106,52
19-Apr-17,PM2.5,10,1,36,42,0,52,14.44,86.106,60
20-Apr-17,PM2.5,11,1,35,31,19,60,14.44,86.106,25
21-Apr-17,Ozone,8,0,10,25,0,18,14.44,86.106,35
22-Apr-17,Ozone,5,0,29,35,0,29,14.44,86.106,40
23-Apr-17,PM2.5,5,1,37,37,8,40,14.44,86.106,32
24-Apr-17,Ozone,3,1,28,32,0,27,14.44,86.106,37
25-Apr-17,NO2,6,3,37,32,0,21,14.44,86.106,40
26-Apr-17,NO2,11,1,40,34,9,36,14.44,86.106,37
27-Apr-17,NO2,9,1,37,34,0,34,14.44,86.106,37
28-Apr-17,PM2.5,8,4,34,36,0,37,14.44,86.106,61
29-Apr-17,PM2.5,8,3,27,45,15,61,14.44,86.106,35
30-Apr-17,NO2,7,3,35,28,0,25,14.44,86.106,43
1-May-17,PM2.5,10,3,36,31,0,43,14.44,86.106,66
2-May-17,PM2.5,8,1,45,30,35,66,14.44,86.106,67
3-May-17,PM2.5,8,3,43,33,0,67,8.88,97.02,34
4-May-17,NO2,6,3,34,31,0,27,8.88,97.02,43
5-May-17,PM2.5,7,4,35,31,9,43,8.88,97.02,33
6-May-17,PM2.5,7,1,23,33,0,33,8.88,97.02,45
7-May-17,NO2,15,4,45,25,0,43,8.88,97.02,67
8-May-17,NO2,23,10,67,33,28,54,8.88,97.02,62
9-May-17,PM2.5,9,7,49,28,0,62,8.88,97.02,31
10-May-17,Ozone,7,3,30,31,0,23,8.88,97.02,40
11-May-17,PM2.5,5,3,31,32,8,40,8.88,97.02,37
12-May-17,NO2,6,1,37,36,0,24,8.88,97.02,49
13-May-17,PM2.5,6,4,40,39,0,49,8.88,97.02,59
14-May-17,PM2.5,10,6,55,44,26,59,8.88,97.02,52
15-May-17,NO2,10,4,52,33,0,50,8.88,97.02,56
16-May-17,PM2.5,6,4,42,39,0,56,8.88,97.02,59
17-May-17,PM2.5,7,3,33,31,13,59,8.88,97.02,71
18-May-17,PM2.5,27,9,65,30,0,71,8.88,97.02,62
19-May-17,PM2.5,28,7,48,34,0,62,8.88,97.02,39
20-May-17,Ozone,6,0,14,39,3,18,8.88,97.02,38
21-May-17,Ozone,5,0,30,38,0,23,8.88,97.02,36
22-May-17,PM2.5,3,4,29,35,0,36,8.88,97.02,37
23-May-17,NO2,7,4,37,33,6,35,8.88,97.02,43
24-May-17,PM2.5,9,4,35,23,0,43,8.88,97.02,77
25-May-17,PM2.5,10,4,37,15,0,77,8.88,97.02,54
26-May-17,PM2.5,10,4,28,23,14,54,8.88,97.02,35
27-May-17,Ozone,6,4,30,35,0,29,8.88,97.02,53
28-May-17,PM2.5,10,4,48,31,0,53,8.88,97.02,43
29-May-17,PM2.5,6,3,43,37,11,43,8.88,97.02,60
30-May-17,PM2.5,15,3,45,27,0,60,8.88,97.02,31
31-May-17,NO2,6,3,31,29,0,27,8.88,97.02,35
1-Jun-17,PM2.5,5,3,23,24,6,35,8.88,97.02,42
2-Jun-17,Ozone,5,4,14,42,0,30,8.88,97.02,40
3-Jun-17,Ozone,7,3,31,40,0,37,3.33,90.932,41
4-Jun-17,PM2.5,8,4,36,27,10,41,3.33,90.932,48
5-Jun-17,PM2.5,11,6,48,29,0,48,3.33,90.932,54
6-Jun-17,PM2.5,8,3,41,28,0,54,3.33,90.932,58
7-Jun-17,PM2.5,8,6,35,26,14,58,3.33,90.932,35
8-Jun-17,PM2.5,3,4,30,34,0,35,3.33,90.932,42
9-Jun-17,PM2.5,5,4,33,33,0,42,3.33,90.932,52
10-Jun-17,PM2.5,7,3,36,26,12,52,3.33,90.932,65
11-Jun-17,PM2.5,10,6,44,27,0,65,3.33,90.932,57
12-Jun-17,PM2.5,9,3,56,27,0,57,3.33,90.932,58
13-Jun-17,PM2.5,8,6,38,32,18,58,3.33,90.932,51
14-Jun-17,PM2.5,6,4,31,34,0,51,3.33,90.932,58
15-Jun-17,PM2.5,8,4,36,31,0,58,3.33,90.932,60
16-Jun-17,PM2.5,11,4,52,23,14,60,3.33,90.932,56
17-Jun-17,PM2.5,11,3,42,33,0,56,3.33,90.932,42
18-Jun-17,PM2.5,7,1,38,36,0,42,3.33,90.932,77
19-Jun-17,PM2.5,10,6,52,31,19,77,3.33,90.932,69
20-Jun-17,PM2.5,10,7,46,28,0,69,3.33,90.932,66
21-Jun-17,PM2.5,9,4,52,31,0,66,3.33,90.932,53
22-Jun-17,PM2.5,8,3,45,35,0,53,3.33,90.932,63
23-Jun-17,PM2.5,8,1,35,32,0,63,3.33,90.932,48
24-Jun-17,PM2.5,6,1,32,32,0,48,3.33,90.932,52
25-Jun-17,PM2.5,14,3,45,34,12,52,3.33,90.932,44
26-Jun-17,PM2.5,13,1,37,31,0,44,3.33,90.932,42
27-Jun-17,PM2.5,6,3,37,27,0,42,3.33,90.932,57
28-Jun-17,NO2,13,6,57,30,0,55,3.33,90.932,58
29-Jun-17,PM2.5,5,3,30,30,0,58,3.33,90.932,42
30-Jun-17,PM2.5,6,4,27,34,0,42,3.33,90.932,63
1-Jul-17,PM2.5,8,7,31,32,0,63,0.55,99.06,66
2-Jul-17,PM2.5,8,7,34,29,0,66,0.55,99.06,56
3-Jul-17,PM2.5,13,4,38,32,11,56,0.55,99.06,55
4-Jul-17,PM2.5,10,4,37,24,0,55,0.55,99.06,45
5-Jul-17,PM2.5,7,3,20,35,0,45,0.55,99.06,64
6-Jul-17,PM2.5,9,7,38,32,11,64,0.55,99.06,60
7-Jul-17,PM2.5,9,9,30,32,0,60,0.55,99.06,54
8-Jul-17,PM2.5,8,11,35,31,0,54,0.55,99.06,56
9-Jul-17,PM2.5,8,14,34,29,13,56,0.55,99.06,60
10-Jul-17,PM2.5,8,11,27,32,0,60,0.55,99.06,60
11-Jul-17,PM2.5,10,13,37,30,0,60,0.55,99.06,68
12-Jul-17,PM2.5,16,7,48,27,18,68,0.55,99.06,56
13-Jul-17,PM2.5,11,6,41,33,0,56,0.55,99.06,79
14-Jul-17,PM2.5,8,9,42,28,0,79,0.55,99.06,65
15-Jul-17,PM2.5,9,10,37,31,18,65,0.55,99.06,64
16-Jul-17,PM2.5,9,11,37,37,0,64,0.55,99.06,47
17-Jul-17,PM2.5,9,7,39,36,0,47,0.55,99.06,78
18-Jul-17,PM2.5,16,10,57,32,16,78,0.55,99.06,72
19-Jul-17,NO2,13,6,72,30,0,47,0.55,99.06,62
20-Jul-17,NO2,6,6,62,34,0,50,0.55,99.06,61
21-Jul-17,PM2.5,13,7,57,36,16,61,0.55,99.06,65
22-Jul-17,PM2.5,10,10,48,30,0,65,0.55,99.06,70
23-Jul-17,PM2.5,10,9,45,34,0,70,0.55,99.06,64
24-Jul-17,PM2.5,10,7,41,26,19,64,0.55,99.06,50
25-Jul-17,PM2.5,6,7,24,37,0,50,0.55,99.06,68
26-Jul-17,PM2.5,7,6,44,35,0,68,0.55,99.06,57
27-Jul-17,PM2.5,7,6,22,37,4,57,0.55,99.06,74
28-Jul-17,NO2,17,9,74,38,0,54,0.55,99.06,55
29-Jul-17,NO2,18,13,55,35,0,52,0.55,99.06,52
30-Jul-17,PM2.5,10,7,46,38,13,52,0.55,99.06,52
31-Jul-17,PM2.5,5,4,31,40,0,52,0.55,99.06,68
1-Aug-17,PM2.5,10,10,42,37,0,68,2.77,74.93,61
2-Aug-17,PM2.5,11,6,41,34,6,61,2.77,74.93,59
3-Aug-17,PM2.5,10,9,52,37,0,59,2.77,74.93,73
4-Aug-17,PM2.5,15,19,73,32,0,73,2.77,74.93,84
5-Aug-17,PM2.5,14,10,53,38,16,84,2.77,74.93,59
6-Aug-17,PM2.5,8,13,46,36,0,59,2.77,74.93,74
7-Aug-17,PM2.5,17,13,55,30,0,74,2.77,74.93,96
8-Aug-17,PM2.5,20,7,61,32,35,96,2.77,74.93,61
9-Aug-17,PM2.5,8,3,44,34,0,61,2.77,74.93,51
10-Aug-17,PM2.5,7,6,30,37,0,51,2.77,74.93,58
11-Aug-17,PM2.5,10,7,49,39,17,58,2.77,74.93,63
12-Aug-17,PM2.5,10,10,46,31,0,63,2.77,74.93,58
13-Aug-17,PM2.5,5,6,42,37,0,58,2.77,74.93,74
14-Aug-17,PM2.5,11,20,48,31,18,74,2.77,74.93,60
15-Aug-17,PM2.5,9,9,29,36,0,60,2.77,74.93,51
16-Aug-17,PM2.5,6,9,38,40,0,51,2.77,74.93,78
17-Aug-17,PM2.5,8,14,55,42,19,78,2.77,74.93,80
18-Aug-17,PM2.5,14,17,67,42,0,80,2.77,74.93,58
19-Aug-17,PM2.5,9,9,48,38,0,58,2.77,74.93,65
20-Aug-17,NO2,7,13,65,37,13,62,2.77,74.93,60
21-Aug-17,PM2.5,9,17,46,35,0,60,2.77,74.93,77
22-Aug-17,PM2.5,14,11,57,39,0,77,2.77,74.93,62
23-Aug-17,PM2.5,13,13,31,38,14,62,2.77,74.93,52
24-Aug-17,PM2.5,9,21,41,33,0,52,2.77,74.93,111
25-Aug-17,NO2,8,21,111,41,0,72,2.77,74.93,66
26-Aug-17,PM2.5,8,7,47,37,11,66,2.77,74.93,60
27-Aug-17,PM2.5,7,10,53,38,0,60,2.77,74.93,53
28-Aug-17,PM2.5,9,9,51,42,0,53,2.77,74.93,68
29-Aug-17,PM2.5,10,16,58,35,20,68,6.11,103.124,88
30-Aug-17,PM2.5,8,9,57,44,0,88,6.11,103.124,53
31-Aug-17,PM2.5,10,7,48,38,0,53,6.11,103.124,86
1-Sep-17,PM2.5,14,7,46,32,21,86,6.11,103.124,53
2-Sep-17,PM2.5,13,6,42,38,0,53,6.11,103.124,55
3-Sep-17,NO2,9,7,55,36,0,47,6.11,103.124,79
4-Sep-17,PM2.5,9,10,54,45,33,79,6.11,103.124,68
5-Sep-17,PM2.5,10,13,66,58,0,68,6.11,103.124,71
6-Sep-17,NO2,11,9,71,49,0,56,6.11,103.124,107
7-Sep-17,NO2,25,14,107,47,32,98,6.11,103.124,68
8-Sep-17,NO2,14,7,68,49,0,56,6.11,103.124,44
9-Sep-17,Ozone,7,4,33,44,0,31,6.11,103.124,51
10-Sep-17,NO2,9,4,51,44,19,46,6.11,103.124,51
11-Sep-17,PM2.5,13,3,47,41,0,51,6.11,103.124,39
12-Sep-17,Ozone,8,3,19,39,0,31,6.11,103.124,76
13-Sep-17,NO2,14,7,76,39,13,59,6.11,103.124,62
14-Sep-17,NO2,13,10,62,39,0,56,6.11,103.124,44
15-Sep-17,Ozone,3,6,40,44,0,33,6.11,103.124,50
16-Sep-17,NO2,6,6,50,47,13,33,6.11,103.124,57
17-Sep-17,PM2.5,10,4,49,47,0,57,6.11,103.124,65
18-Sep-17,PM2.5,9,9,38,41,0,65,6.11,103.124,41
19-Sep-17,Ozone,7,3,15,41,7,39,6.11,103.124,42
20-Sep-17,Ozone,3,4,29,42,0,38,6.11,103.124,52
21-Sep-17,NO2,11,6,52,42,0,41,6.11,103.124,80
22-Sep-17,NO2,15,17,80,38,35,66,6.11,103.124,79
23-Sep-17,PM2.5,15,7,70,37,0,79,6.11,103.124,35
24-Sep-17,Ozone,8,4,32,35,0,27,6.11,103.124,56
25-Sep-17,PM2.5,5,3,24,38,0,56,6.11,103.124,44
26-Sep-17,Ozone,6,4,39,44,0,27,6.11,103.124,42
27-Sep-17,NO2,9,6,42,41,0,36,6.11,103.124,40
28-Sep-17,NO2,7,4,40,38,8,30,6.11,103.124,50
29-Sep-17,NO2,7,6,50,46,0,31,11.1,100.07,65
30-Sep-17,NO2,14,11,65,58,0,53,11.1,100.07,61
1-Oct-17,PM2.5,11,4,44,42,15,61,11.1,100.07,40
2-Oct-17,Ozone,11,1,36,40,0,32,11.1,100.07,47
3-Oct-17,Ozone,7,6,41,47,0,38,11.1,100.07,63
4-Oct-17,PM2.5,13,6,57,50,26,63,11.1,100.07,70
5-Oct-17,NO2,14,6,70,39,0,60,11.1,100.07,42
6-Oct-17,Ozone,7,3,39,42,0,40,11.1,100.07,55
7-Oct-17,PM2.5,9,3,41,42,6,55,11.1,100.07,61
8-Oct-17,PM2.5,13,3,47,39,0,61,11.1,100.07,46
9-Oct-17,Ozone,8,4,26,46,0,27,11.1,100.07,50
10-Oct-17,Ozone,10,6,50,50,11,42,11.1,100.07,63
11-Oct-17,NO2,13,7,63,58,0,53,11.1,100.07,57
12-Oct-17,NO2,14,6,57,44,0,46,11.1,100.07,53
13-Oct-17,NO2,15,6,53,46,8,26,11.1,100.07,49
14-Oct-17,NO2,11,4,49,48,0,32,11.1,100.07,49
15-Oct-17,NO2,11,6,49,44,0,44,11.1,100.07,84
16-Oct-17,Ozone,10,4,47,84,19,46,11.1,100.07,44
17-Oct-17,Ozone,7,3,17,44,0,24,11.1,100.07,48
18-Oct-17,NO2,10,1,48,47,0,38,11.1,100.07,54
19-Oct-17,NO2,9,3,54,44,7,40,11.1,100.07,60
20-Oct-17,NO2,8,7,60,47,0,53,11.1,100.07,36
21-Oct-17,Ozone,6,1,23,36,0,20,11.1,100.07,46
22-Oct-17,Ozone,3,3,24,46,8,23,11.1,100.07,47
23-Oct-17,NO2,5,4,47,42,0,22,11.1,100.07,43
24-Oct-17,Ozone,6,4,26,43,0,20,11.1,100.07,38
25-Oct-17,Ozone,3,4,36,38,1,20,11.1,100.07,46
26-Oct-17,Ozone,3,4,36,46,0,21,11.1,100.07,54
27-Oct-17,Ozone,6,3,45,54,0,39,11.1,100.07,44
28-Oct-17,Ozone,8,4,37,44,15,24,11.1,100.07,40
29-Oct-17,Ozone,11,9,37,40,0,34,17.22,113.03,52
30-Oct-17,PM2.5,9,4,39,46,0,52,17.22,113.03,52
31-Oct-17,NO2,7,13,52,51,18,51,17.22,113.03,100
1-Nov-17,Ozone,10,6,69,100,0,67,17.22,113.03,122
2-Nov-17,Ozone,9,4,77,122,0,70,17.22,113.03,58
3-Nov-17,Ozone,9,4,54,58,27,52,17.22,113.03,87
4-Nov-17,Ozone,9,6,60,87,0,58,17.22,113.03,140
5-Nov-17,Ozone,9,4,57,140,0,67,17.22,113.03,69
6-Nov-17,PM2.5,10,3,43,38,26,69,17.22,113.03,54
7-Nov-17,PM2.5,10,1,29,36,0,54,17.22,113.03,78
8-Nov-17,PM2.5,10,1,27,45,0,78,17.22,113.03,77
9-Nov-17,Ozone,8,3,35,77,37,71,17.22,113.03,35
10-Nov-17,Ozone,5,1,20,35,0,29,17.22,113.03,64
11-Nov-17,Ozone,5,3,36,64,0,36,17.22,113.03,84
12-Nov-17,Ozone,6,4,42,84,24,57,17.22,113.03,58
13-Nov-17,Ozone,9,3,45,58,0,56,17.22,113.03,108
14-Nov-17,Ozone,9,4,56,108,0,71,17.22,113.03,68
15-Nov-17,PM2.5,9,4,63,42,29,68,17.22,113.03,60
16-Nov-17,PM2.5,8,3,52,47,0,60,17.22,113.03,45
17-Nov-17,PM2.5,6,1,30,36,0,45,17.22,113.03,43
18-Nov-17,Ozone,6,3,42,43,10,38,17.22,113.03,61
19-Nov-17,Ozone,5,1,40,61,0,44,17.22,113.03,48
20-Nov-17,Ozone,5,3,34,48,0,33,17.22,113.03,100
21-Nov-17,Ozone,6,4,35,100,23,54,17.22,113.03,87
22-Nov-17,Ozone,6,3,30,87,0,58,17.22,113.03,101
23-Nov-17,Ozone,7,1,34,101,0,54,17.22,113.03,56
24-Nov-17,PM2.5,7,1,40,45,22,56,17.22,113.03,61
25-Nov-17,Ozone,7,1,43,61,0,59,17.22,113.03,77
26-Nov-17,Ozone,8,3,41,77,0,58,17.22,113.03,50
27-Nov-17,PM2.5,7,1,40,44,21,50,17.22,113.03,45
28-Nov-17,PM2.5,8,1,21,35,0,45,17.22,113.03,35
29-Nov-17,NO2,8,1,35,32,0,25,22.22,88.9,26
30-Nov-17,NO2,10,1,26,24,4,22,22.22,88.9,37
1-Dec-17,Ozone,8,1,24,37,0,36,22.22,88.9,38
2-Dec-17,Ozone,8,4,27,38,0,21,22.22,88.9,50
3-Dec-17,NO2,10,1,50,39,17,40,22.22,88.9,46
4-Dec-17,Ozone,7,1,42,46,0,34,22.22,88.9,49
5-Dec-17,Ozone,7,1,34,49,0,37,22.22,88.9,54
6-Dec-17,Ozone,6,1,48,54,0,40,22.22,88.9,80
7-Dec-17,Ozone,6,1,37,80,0,52,22.22,88.9,93
8-Dec-17,Ozone,6,3,42,93,0,55,22.22,88.9,154
9-Dec-17,Ozone,7,3,39,154,41,90,22.22,88.9,147
10-Dec-17,Ozone,9,1,43,147,0,76,22.22,88.9,93
11-Dec-17,Ozone,7,1,39,93,0,52,22.22,88.9,119
12-Dec-17,Ozone,8,1,50,119,14,79,22.22,88.9,54
13-Dec-17,PM2.5,10,1,42,45,0,54,22.22,88.9,55
14-Dec-17,PM2.5,10,3,40,44,0,55,22.22,88.9,44
15-Dec-17,Ozone,6,4,26,44,16,43,22.22,88.9,41
16-Dec-17,Ozone,7,1,33,41,0,37,22.22,88.9,48
17-Dec-17,Ozone,6,1,30,48,0,46,22.22,88.9,50
18-Dec-17,PM2.5,10,1,33,47,17,50,22.22,88.9,43
19-Dec-17,Ozone,8,1,26,43,0,40,22.22,88.9,84
20-Dec-17,Ozone,5,3,39,84,0,52,22.22,88.9,67
21-Dec-17,PM2.5,6,3,41,67,36,67,22.22,88.9,67
22-Dec-17,Ozone,6,6,29,67,0,52,22.22,88.9,54
23-Dec-17,Ozone,16,3,38,54,0,39,22.22,88.9,105
24-Dec-17,Ozone,15,1,33,105,18,53,22.22,88.9,40
25-Dec-17,Ozone,9,1,25,40,0,31,22.22,88.9,40
26-Dec-17,Ozone,8,1,17,40,0,18,22.22,88.9,44
27-Dec-17,Ozone,8,1,33,44,7,38,22.22,88.9,46
28-Dec-17,PM2.5,9,3,46,46,0,46,22.22,88.9,108
29-Dec-17,Ozone,9,1,41,108,0,69,25.55,114.3,119
30-Dec-17,NO2,13,4,119,47,18,61,25.55,114.3,84
31-Dec-17,Ozone,11,1,34,84,0,48,25.55,114.3,79
1-Jan-18,PM2.5,9,4,26,51,0,79,25.55,114.3,90
2-Jan-18,Ozone,9,3,35,90,19,82,25.55,114.3,80
3-Jan-18,Ozone,9,6,40,80,0,54,25.55,114.3,64
4-Jan-18,Ozone,10,1,30,64,0,59,25.55,114.3,71
5-Jan-18,PM2.5,9,3,43,71,22,71,25.55,114.3,59
6-Jan-18,PM2.5,11,1,33,44,0,59,25.55,114.3,61
7-Jan-18,Ozone,9,1,51,61,0,52,25.55,114.3,105
8-Jan-18,Ozone,9,3,36,105,23,59,25.55,114.3,100
9-Jan-18,Ozone,9,1,26,100,0,55,25.55,114.3,129
10-Jan-18,Ozone,9,4,43,129,0,60,25.55,114.3,57
11-Jan-18,PM2.5,10,1,42,41,17,57,25.55,114.3,63
12-Jan-18,PM2.5,10,1,46,45,0,63,25.55,114.3,61
13-Jan-18,Ozone,9,3,33,61,0,38,25.55,114.3,87
14-Jan-18,Ozone,9,3,33,87,19,38,25.55,114.3,54
15-Jan-18,PM2.5,13,1,34,47,0,54,25.55,114.3,108
16-Jan-18,Ozone,13,3,27,108,0,72,25.55,114.3,126
17-Jan-18,Ozone,8,3,27,126,19,70,25.55,114.3,101
18-Jan-18,Ozone,9,6,35,101,0,60,25.55,114.3,49
